iter	Passed	Remaining
0	145	59393
1	155	31599
2	165	22356
3	175	17718
4	186	15004
5	196	13171
6	208	11945
7	217	10896
8	228	10108
9	237	9463
10	248	8963
11	259	8552
12	268	8172
13	282	7954
14	294	7715
15	304	7454
16	315	7254
17	327	7092
18	338	6926
19	350	6791
20	363	6698
21	374	6576
22	385	6455
23	398	6369
24	412	6321
25	425	6248
26	435	6142
27	447	6071
28	460	6012
29	471	5942
30	481	5861
31	492	5791
32	503	5725
33	517	5691
34	528	5630
35	539	5575
36	553	5550
37	566	5514
38	577	5465
39	589	5420
40	601	5383
41	611	5331
42	623	5289
43	635	5254
44	645	5207
45	656	5165
46	667	5127
47	678	5087
48	690	5058
49	702	5026
50	712	4989
51	723	4955
52	734	4918
53	744	4882
54	755	4849
55	766	4819
56	776	4783
57	789	4763
58	802	4745
59	814	4724
60	825	4697
61	837	4671
62	848	4647
63	860	4627
64	872	4605
65	885	4589
66	899	4576
67	911	4556
68	923	4537
69	935	4517
70	948	4500
71	959	4478
72	1007	4625
73	1055	4762
74	1071	4759
75	1091	4767
76	1123	4828
77	1151	4871
78	1168	4865
79	1188	4874
80	1202	4853
81	1215	4832
82	1227	4807
83	1239	4779
84	1252	4759
85	1268	4749
86	1281	4727
87	1296	4714
88	1310	4696
89	1320	4665
90	1330	4636
91	1341	4608
92	1351	4578
93	1361	4549
94	1372	4523
95	1386	4506
96	1396	4478
97	1407	4453
98	1417	4425
99	1429	4402
100	1440	4378
101	1451	4355
102	1462	4329
103	1473	4307
104	1484	4283
105	1495	4260
106	1508	4242
107	1521	4226
108	1532	4203
109	1545	4186
110	1557	4166
111	1570	4149
112	1581	4129
113	1592	4107
114	1603	4085
115	1613	4062
116	1625	4042
117	1637	4023
118	1653	4015
119	1668	4003
120	1678	3980
121	1690	3962
122	1701	3943
123	1712	3922
124	1723	3902
125	1736	3885
126	1747	3867
127	1758	3847
128	1769	3828
129	1781	3809
130	1791	3787
131	1803	3770
132	1815	3752
133	1825	3733
134	1836	3714
135	1848	3697
136	1858	3676
137	1864	3648
138	1875	3629
139	1885	3609
140	1896	3591
141	1917	3592
142	1932	3582
143	1953	3580
144	1969	3573
145	1983	3559
146	1995	3543
147	2006	3524
148	2019	3509
149	2030	3492
150	2041	3475
151	2053	3458
152	2065	3441
153	2076	3425
154	2088	3409
155	2099	3392
156	2111	3375
157	2122	3357
158	2132	3340
159	2143	3321
160	2152	3302
161	2163	3285
162	2174	3268
163	2184	3250
164	2197	3236
165	2208	3219
166	2218	3201
167	2229	3185
168	2240	3168
169	2251	3151
170	2261	3134
171	2273	3118
172	2284	3102
173	2296	3087
174	2311	3076
175	2321	3059
176	2330	3041
177	2341	3025
178	2353	3010
179	2364	2994
180	2376	2980
181	2387	2964
182	2397	2947
183	2408	2932
184	2419	2915
185	2428	2898
186	2438	2881
187	2448	2865
188	2459	2849
189	2470	2834
190	2480	2818
191	2492	2804
192	2505	2791
193	2515	2775
194	2525	2759
195	2536	2743
196	2546	2727
197	2556	2711
198	2568	2697
199	2581	2684
200	2592	2669
201	2606	2658
202	2621	2647
203	2633	2633
204	2644	2618
205	2655	2604
206	2666	2589
207	2677	2574
208	2688	2559
209	2700	2545
210	2710	2530
211	2721	2515
212	2732	2501
213	2741	2485
214	2752	2470
215	2762	2455
216	2773	2440
217	2784	2426
218	2795	2412
219	2805	2397
220	2816	2383
221	2828	2369
222	2838	2354
223	2848	2339
224	2859	2325
225	2871	2312
226	2884	2300
227	2896	2286
228	2906	2271
229	2917	2257
230	2929	2244
231	2938	2229
232	2949	2215
233	2955	2197
234	2965	2183
235	2976	2169
236	2988	2156
237	2999	2142
238	3010	2129
239	3022	2115
240	3033	2101
241	3045	2088
242	3055	2074
243	3065	2060
244	3075	2046
245	3085	2032
246	3098	2019
247	3109	2006
248	3121	1993
249	3132	1979
250	3144	1966
251	3155	1953
252	3166	1939
253	3177	1926
254	3189	1913
255	3201	1901
256	3211	1886
257	3221	1873
258	3232	1859
259	3243	1846
